cliente,nombre_servicio,comuna,peluqueria,total
10000452,Tintes y coloracion de cabello,93,9,97034
10000829,Tintes y coloracion de cabello,27,9,97034
10000677,Tintes y coloracion de cabello,127,9,97034
10000610,Tintes y coloracion de cabello,192,9,97034
10000960,Tintes y coloracion de cabello,32,9,97034
10000415,Tintes y coloracion de cabello,44,9,97034
10000951,Tintes y coloracion de cabello,99,9,97034
10000495,Tintes y coloracion de cabello,197,9,97034
10000548,Tintes y coloracion de cabello,137,9,97034
10000615,Tintes y coloracion de cabello,45,9,97034
10000263,Tintes y coloracion de cabello,175,9,97034
10000821,Tintes y coloracion de cabello,139,9,97034
10000130,Tintes y coloracion de cabello,75,9,97034
10000507,Tintes y coloracion de cabello,20,9,97034
10000513,Tintes y coloracion de cabello,149,9,97034
10000305,Tintes y coloracion de cabello,76,9,97034
10000727,Tintes y coloracion de cabello,184,9,97034
10000544,Tintes y coloracion de cabello,94,9,97034
10000463,Tintes y coloracion de cabello,5,9,97034
10000321,Tintes y coloracion de cabello,151,9,97034
10000554,Tintes y coloracion de cabello,194,9,97034
10000476,Tintes y coloracion de cabello,187,9,97034
10000371,Tintes y coloracion de cabello,146,9,97034
10000805,Tintes y coloracion de cabello,105,9,97034
10000906,Tintes y coloracion de cabello,3,9,97034
10000140,Tintes y coloracion de cabello,66,9,97034
10000762,Tintes y coloracion de cabello,169,9,97034
10000830,Tintes y coloracion de cabello,96,9,97034
10000546,Tintes y coloracion de cabello,139,9,97034
10000749,Tintes y coloracion de cabello,186,9,97034
10000694,Tintes y coloracion de cabello,156,9,97034
10000007,Tintes y coloracion de cabello,180,9,97034
10000513,Tintes y coloracion de cabello,149,9,97034
10000247,Tintes y coloracion de cabello,13,9,97034
10000516,Tintes y coloracion de cabello,183,9,97034
10000114,Tintes y coloracion de cabello,126,9,97034
10000035,Tintes y coloracion de cabello,141,9,97034
10000407,Tintes y coloracion de cabello,173,9,97034
10000619,Tintes y coloracion de cabello,164,9,97034
10000060,Tintes y coloracion de cabello,83,9,97034
10000154,Tintes y coloracion de cabello,12,9,97034
10000677,Tintes y coloracion de cabello,127,9,97034
10000059,Tintes y coloracion de cabello,51,9,97034
10000248,Tintes y coloracion de cabello,128,9,97034
10000750,Tintes y coloracion de cabello,191,9,97034
10000858,Tintes y coloracion de cabello,17,12,97034
10001000,Tintes y coloracion de cabello,160,12,97034
10000621,Tintes y coloracion de cabello,21,12,97034
10000672,Tintes y coloracion de cabello,23,12,97034
10000914,Tintes y coloracion de cabello,56,12,97034
10000722,Tintes y coloracion de cabello,156,12,97034
10000383,Tintes y coloracion de cabello,24,12,97034
10000581,Tintes y coloracion de cabello,99,12,97034
10000491,Tintes y coloracion de cabello,159,12,97034
10000511,Tintes y coloracion de cabello,171,12,97034
10000414,Tintes y coloracion de cabello,95,12,97034
10000094,Tintes y coloracion de cabello,38,12,97034
10000284,Tintes y coloracion de cabello,54,12,97034
10000661,Tintes y coloracion de cabello,76,12,97034
10000414,Tintes y coloracion de cabello,95,12,97034
10000771,Tintes y coloracion de cabello,102,12,97034
10000009,Tintes y coloracion de cabello,151,12,97034
10000180,Tintes y coloracion de cabello,136,12,97034
10000538,Tintes y coloracion de cabello,180,12,97034
10000595,Tintes y coloracion de cabello,138,12,97034
10000289,Tintes y coloracion de cabello,91,12,97034
10000953,Tintes y coloracion de cabello,122,12,97034
10000264,Tintes y coloracion de cabello,56,12,97034
10000706,Tintes y coloracion de cabello,191,12,97034
10000444,Tintes y coloracion de cabello,30,12,97034
10000447,Tintes y coloracion de cabello,159,12,97034
10000343,Tintes y coloracion de cabello,25,12,97034
10000043,Tintes y coloracion de cabello,28,12,97034
10000303,Tintes y coloracion de cabello,138,12,97034
10000477,Tintes y coloracion de cabello,95,12,97034
10001000,Tintes y coloracion de cabello,160,12,97034
10000739,Tintes y coloracion de cabello,198,12,97034
10000243,Tintes y coloracion de cabello,153,12,97034
10000430,Tintes y coloracion de cabello,110,12,97034
10000870,Tintes y coloracion de cabello,79,12,97034
10000538,Tintes y coloracion de cabello,180,12,97034
10000278,Tintes y coloracion de cabello,45,12,97034
10000398,Tintes y coloracion de cabello,72,12,97034
10000487,Tintes y coloracion de cabello,105,12,97034
10000647,Tintes y coloracion de cabello,7,12,97034
10000853,Tintes y coloracion de cabello,56,12,97034
10000828,Tintes y coloracion de cabello,186,12,97034
10000733,Tintes y coloracion de cabello,79,12,97034
10000023,Tintes y coloracion de cabello,5,12,97034
10000745,Tintes y coloracion de cabello,132,12,97034
10000041,Tintes y coloracion de cabello,86,12,97034
10000488,Tintes y coloracion de cabello,64,12,97034
10000459,Tintes y coloracion de cabello,79,12,97034
10000852,Tintes y coloracion de cabello,33,12,97034
10000831,Tintes y coloracion de cabello,115,12,97034
10000277,Tintes y coloracion de cabello,53,12,97034
10000919,Tintes y coloracion de cabello,19,12,97034
10000068,Tintes y coloracion de cabello,61,12,97034
10000600,Tintes y coloracion de cabello,109,12,97034
10000392,Tintes y coloracion de cabello,55,12,97034
10000809,Tintes y coloracion de cabello,83,12,97034
10000536,Tintes y coloracion de cabello,196,12,97034
10000552,Tintes y coloracion de cabello,160,12,97034
10000256,Tintes y coloracion de cabello,76,12,97034
10000690,Tintes y coloracion de cabello,173,12,97034
10000467,Tintes y coloracion de cabello,143,12,97034
10000353,Tintes y coloracion de cabello,149,12,97034
10000303,Tintes y coloracion de cabello,138,12,97034
10000943,Tintes y coloracion de cabello,159,12,97034
10000326,Tintes y coloracion de cabello,192,12,97034
10000522,Tintes y coloracion de cabello,58,12,97034
10000860,Tintes y coloracion de cabello,162,12,97034
10000099,Tintes y coloracion de cabello,75,12,97034
10000131,Tintes y coloracion de cabello,178,14,97034
10000534,Tintes y coloracion de cabello,35,14,97034
10000523,Tintes y coloracion de cabello,72,14,97034
10000633,Tintes y coloracion de cabello,173,14,97034
10000987,Tintes y coloracion de cabello,192,14,97034
10000239,Tintes y coloracion de cabello,120,14,97034
10000501,Tintes y coloracion de cabello,187,14,97034
10000663,Tintes y coloracion de cabello,118,14,97034
10000287,Tintes y coloracion de cabello,193,14,97034
10000475,Tintes y coloracion de cabello,15,14,97034
10000213,Tintes y coloracion de cabello,30,14,97034
10000188,Tintes y coloracion de cabello,186,14,97034
10000943,Tintes y coloracion de cabello,159,14,97034
10000085,Tintes y coloracion de cabello,21,14,97034
10000720,Tintes y coloracion de cabello,122,14,97034
10000486,Tintes y coloracion de cabello,200,14,97034
10000500,Tintes y coloracion de cabello,181,14,97034
10000036,Tintes y coloracion de cabello,151,14,97034
10000382,Tintes y coloracion de cabello,121,14,97034
10000423,Tintes y coloracion de cabello,70,14,97034
10000187,Tintes y coloracion de cabello,104,14,97034
10000717,Tintes y coloracion de cabello,149,14,97034
10000708,Tintes y coloracion de cabello,97,14,97034
10000263,Tintes y coloracion de cabello,175,14,97034
10000843,Tintes y coloracion de cabello,120,14,97034
10000426,Tintes y coloracion de cabello,58,14,97034
10000630,Tintes y coloracion de cabello,85,14,97034
10000178,Tintes y coloracion de cabello,157,14,97034
10000114,Tintes y coloracion de cabello,126,14,97034
10000890,Tintes y coloracion de cabello,92,14,97034
10000016,Tintes y coloracion de cabello,166,14,97034
10000410,Tintes y coloracion de cabello,17,14,97034
10000070,Tintes y coloracion de cabello,80,14,97034
10000739,Tintes y coloracion de cabello,198,14,97034
10000256,Tintes y coloracion de cabello,76,14,97034
10000748,Tintes y coloracion de cabello,100,14,97034
10000343,Tintes y coloracion de cabello,25,14,97034
10000574,Tintes y coloracion de cabello,46,14,97034
10000801,Tintes y coloracion de cabello,160,14,97034
10000568,Tintes y coloracion de cabello,100,14,97034
10000191,Tintes y coloracion de cabello,166,14,97034
10000812,Tintes y coloracion de cabello,194,14,97034
10000668,Tintes y coloracion de cabello,48,14,97034
10000668,Tintes y coloracion de cabello,48,14,97034
10000444,Tintes y coloracion de cabello,30,14,97034
10000006,Tintes y coloracion de cabello,149,14,97034
10000566,Tintes y coloracion de cabello,63,14,97034
10000728,Tintes y coloracion de cabello,130,14,97034
10000003,Tintes y coloracion de cabello,39,14,97034
10000816,Tintes y coloracion de cabello,145,14,97034
10000413,Tintes y coloracion de cabello,24,14,97034
10000323,Tintes y coloracion de cabello,131,14,97034
10000438,Tintes y coloracion de cabello,117,14,97034
10000622,Tintes y coloracion de cabello,154,14,97034
10000848,Tintes y coloracion de cabello,27,14,97034
10000841,Tintes y coloracion de cabello,161,14,97034
10000593,Tintes y coloracion de cabello,127,14,97034
10000601,Tintes y coloracion de cabello,164,14,97034
10000104,Tintes y coloracion de cabello,192,14,97034
10000305,Tintes y coloracion de cabello,76,14,97034
10000389,Tintes y coloracion de cabello,57,14,97034
10000756,Tintes y coloracion de cabello,172,14,97034
10000544,Tintes y coloracion de cabello,94,14,97034
10000325,Tintes y coloracion de cabello,137,14,97034
10000577,Tintes y coloracion de cabello,11,14,97034
10000922,Tintes y coloracion de cabello,3,14,97034
10000403,Tintes y coloracion de cabello,24,14,97034
10000524,Tintes y coloracion de cabello,199,14,97034
10000120,Tintes y coloracion de cabello,124,14,97034
10000408,Tintes y coloracion de cabello,162,14,97034
10000754,Tintes y coloracion de cabello,139,14,97034
10000748,Tintes y coloracion de cabello,100,14,97034
10000693,Tintes y coloracion de cabello,198,14,97034
10000998,Tintes y coloracion de cabello,169,14,97034
10000828,Tintes y coloracion de cabello,186,14,97034
10000136,Tintes y coloracion de cabello,111,14,97034
10000608,Tintes y coloracion de cabello,161,14,97034
10000328,Tintes y coloracion de cabello,63,14,97034
10000105,Tintes y coloracion de cabello,200,14,97034
10000049,Tintes y coloracion de cabello,100,14,97034
10000913,Tintes y coloracion de cabello,79,14,97034
10000733,Tintes y coloracion de cabello,79,14,97034
10000181,Tintes y coloracion de cabello,139,14,97034
10000343,Tintes y coloracion de cabello,25,14,97034
10000352,Tintes y coloracion de cabello,92,14,97034
10000519,Tintes y coloracion de cabello,173,14,97034
10000473,Tintes y coloracion de cabello,48,14,97034
10000911,Tintes y coloracion de cabello,99,15,97034
10000038,Tintes y coloracion de cabello,107,15,97034
10000629,Tintes y coloracion de cabello,36,15,97034
10000724,Tintes y coloracion de cabello,10,15,97034
10000583,Tintes y coloracion de cabello,13,15,97034
10000213,Tintes y coloracion de cabello,30,15,97034
10000630,Tintes y coloracion de cabello,85,15,97034
10000000,Tintes y coloracion de cabello,110,15,97034
10000456,Tintes y coloracion de cabello,197,15,97034
10000114,Tintes y coloracion de cabello,126,15,97034
10000915,Tintes y coloracion de cabello,63,15,97034
10000825,Tintes y coloracion de cabello,155,15,97034
10000435,Tintes y coloracion de cabello,77,15,97034
10000914,Tintes y coloracion de cabello,56,15,97034
10000932,Tintes y coloracion de cabello,126,15,97034
10000640,Tintes y coloracion de cabello,68,15,97034
10000156,Tintes y coloracion de cabello,128,15,97034
10000991,Tintes y coloracion de cabello,57,15,97034
10000451,Tintes y coloracion de cabello,121,15,97034
10000090,Tintes y coloracion de cabello,85,15,97034
10000492,Tintes y coloracion de cabello,8,15,97034
10000841,Tintes y coloracion de cabello,161,15,97034
10000811,Tintes y coloracion de cabello,46,15,97034
10000941,Tintes y coloracion de cabello,96,15,97034
10000757,Tintes y coloracion de cabello,20,15,97034
10000378,Tintes y coloracion de cabello,123,15,97034
10000681,Tintes y coloracion de cabello,94,15,97034
10000624,Tintes y coloracion de cabello,102,15,97034
10000471,Tintes y coloracion de cabello,1,15,97034
10000768,Tintes y coloracion de cabello,68,15,97034
10001000,Tintes y coloracion de cabello,160,15,97034
10000944,Tintes y coloracion de cabello,171,15,97034
10000665,Tintes y coloracion de cabello,181,15,97034
10000042,Tintes y coloracion de cabello,154,15,97034
10000158,Tintes y coloracion de cabello,178,15,97034
10000375,Tintes y coloracion de cabello,126,15,97034
10000187,Tintes y coloracion de cabello,104,15,97034
10000333,Tintes y coloracion de cabello,56,15,97034
10000871,Tintes y coloracion de cabello,75,15,97034
10000641,Tintes y coloracion de cabello,191,15,97034
10000012,Tintes y coloracion de cabello,149,15,97034
10000367,Tintes y coloracion de cabello,45,15,97034
10000397,Tintes y coloracion de cabello,73,15,97034
10000232,Tintes y coloracion de cabello,51,15,97034
10000028,Tintes y coloracion de cabello,157,15,97034
10000365,Tintes y coloracion de cabello,16,15,97034
10000586,Tintes y coloracion de cabello,80,15,97034
10000269,Tintes y coloracion de cabello,93,15,97034
10000634,Tintes y coloracion de cabello,152,15,97034
10000614,Tintes y coloracion de cabello,85,15,97034
10000695,Tintes y coloracion de cabello,42,15,97034
10000634,Tintes y coloracion de cabello,152,15,97034
10000861,Tintes y coloracion de cabello,114,15,97034
10000435,Tintes y coloracion de cabello,77,15,97034
10000261,Tintes y coloracion de cabello,17,15,97034
10000456,Tintes y coloracion de cabello,197,15,97034
10000749,Tintes y coloracion de cabello,186,15,97034
10000607,Tintes y coloracion de cabello,93,16,97034
10000767,Tintes y coloracion de cabello,163,16,97034
10000144,Tintes y coloracion de cabello,45,16,97034
10000885,Tintes y coloracion de cabello,79,16,97034
10000324,Tintes y coloracion de cabello,108,16,97034
10000765,Tintes y coloracion de cabello,156,16,97034
10000171,Tintes y coloracion de cabello,35,16,97034
10000191,Tintes y coloracion de cabello,166,16,97034
10000505,Tintes y coloracion de cabello,156,16,97034
10000124,Tintes y coloracion de cabello,131,16,97034
10000438,Tintes y coloracion de cabello,117,16,97034
10000189,Tintes y coloracion de cabello,83,16,97034
10000299,Tintes y coloracion de cabello,77,16,97034
10000442,Tintes y coloracion de cabello,131,16,97034
10000904,Tintes y coloracion de cabello,12,16,97034
10000635,Tintes y coloracion de cabello,154,16,97034
10000947,Tintes y coloracion de cabello,197,16,97034
10000094,Tintes y coloracion de cabello,38,16,97034
10000589,Tintes y coloracion de cabello,139,16,97034
10000027,Tintes y coloracion de cabello,95,16,97034
10000023,Tintes y coloracion de cabello,5,16,97034
10000887,Tintes y coloracion de cabello,180,16,97034
10000993,Tintes y coloracion de cabello,186,16,97034
10000289,Tintes y coloracion de cabello,91,16,97034
10000626,Tintes y coloracion de cabello,127,16,97034
10000901,Tintes y coloracion de cabello,129,16,97034
10000089,Tintes y coloracion de cabello,104,16,97034
10000035,Tintes y coloracion de cabello,141,16,97034
10000673,Tintes y coloracion de cabello,55,16,97034
10000679,Tintes y coloracion de cabello,6,16,97034
10000863,Tintes y coloracion de cabello,39,16,97034
10000044,Tintes y coloracion de cabello,81,16,97034
10000057,Tintes y coloracion de cabello,76,16,97034
10000777,Tintes y coloracion de cabello,179,16,97034
10000280,Tintes y coloracion de cabello,167,16,97034
10000070,Tintes y coloracion de cabello,80,16,97034
10000827,Tintes y coloracion de cabello,85,16,97034
10000337,Tintes y coloracion de cabello,124,16,97034
10000104,Tintes y coloracion de cabello,192,16,97034
10000345,Tintes y coloracion de cabello,78,16,97034
10000277,Tintes y coloracion de cabello,53,16,97034
10000888,Tintes y coloracion de cabello,73,16,97034
10000552,Tintes y coloracion de cabello,160,16,97034
10000211,Tintes y coloracion de cabello,67,16,97034
10000977,Tintes y coloracion de cabello,145,16,97034
10000390,Tintes y coloracion de cabello,100,16,97034
10000538,Tintes y coloracion de cabello,180,16,97034
10000662,Tintes y coloracion de cabello,2,18,97034
10000811,Tintes y coloracion de cabello,46,18,97034
10000917,Tintes y coloracion de cabello,31,18,97034
10001000,Tintes y coloracion de cabello,160,18,97034
10000591,Tintes y coloracion de cabello,36,18,97034
10000493,Tintes y coloracion de cabello,103,18,97034
10000199,Tintes y coloracion de cabello,160,18,97034
10000745,Tintes y coloracion de cabello,132,18,97034
10000288,Tintes y coloracion de cabello,175,18,97034
10000211,Tintes y coloracion de cabello,67,18,97034
10000595,Tintes y coloracion de cabello,138,18,97034
10000884,Tintes y coloracion de cabello,107,18,97034
10000047,Tintes y coloracion de cabello,46,18,97034
10000059,Tintes y coloracion de cabello,51,18,97034
10000460,Tintes y coloracion de cabello,16,18,97034
10000584,Tintes y coloracion de cabello,51,18,97034
10000703,Tintes y coloracion de cabello,96,18,97034
10000368,Tintes y coloracion de cabello,186,18,97034
10000130,Tintes y coloracion de cabello,75,18,97034
10000994,Tintes y coloracion de cabello,8,18,97034
10000797,Tintes y coloracion de cabello,167,18,97034
10000451,Tintes y coloracion de cabello,121,18,97034
10000266,Tintes y coloracion de cabello,20,18,97034
10000818,Tintes y coloracion de cabello,68,18,97034
10000007,Tintes y coloracion de cabello,180,18,97034
10000603,Tintes y coloracion de cabello,61,18,97034
10000033,Tintes y coloracion de cabello,140,18,97034
10000607,Tintes y coloracion de cabello,93,18,97034
10000921,Tintes y coloracion de cabello,48,18,97034
10000962,Tintes y coloracion de cabello,111,18,97034
10000357,Tintes y coloracion de cabello,27,18,97034
10000163,Tintes y coloracion de cabello,10,18,97034
10000964,Tintes y coloracion de cabello,115,18,97034
10000205,Tintes y coloracion de cabello,116,18,97034
10000021,Tintes y coloracion de cabello,41,18,97034
10000916,Tintes y coloracion de cabello,16,18,97034
10000359,Tintes y coloracion de cabello,41,18,97034
10000464,Tintes y coloracion de cabello,147,18,97034
10000020,Tintes y coloracion de cabello,165,18,97034
10000534,Tintes y coloracion de cabello,35,18,97034
10000118,Tintes y coloracion de cabello,88,18,97034
10000999,Tintes y coloracion de cabello,159,18,97034
10000896,Tintes y coloracion de cabello,163,18,97034
10000367,Tintes y coloracion de cabello,45,18,97034
10000259,Tintes y coloracion de cabello,162,18,97034
10000186,Tintes y coloracion de cabello,26,18,97034
10000335,Tintes y coloracion de cabello,199,18,97034
10000931,Tintes y coloracion de cabello,141,18,97034
10000750,Tintes y coloracion de cabello,191,18,97034
10000489,Tintes y coloracion de cabello,96,18,97034
10000241,Tintes y coloracion de cabello,69,18,97034
10000174,Tintes y coloracion de cabello,14,18,97034
10000171,Tintes y coloracion de cabello,35,18,97034
10000758,Tintes y coloracion de cabello,40,18,97034
10000329,Tintes y coloracion de cabello,119,18,97034
10000639,Tintes y coloracion de cabello,191,18,97034
10000250,Tintes y coloracion de cabello,159,18,97034
10000240,Tintes y coloracion de cabello,56,18,97034
10000989,Tintes y coloracion de cabello,113,18,97034
10000158,Tintes y coloracion de cabello,178,18,97034
10000629,Tintes y coloracion de cabello,36,18,97034
10000779,Tintes y coloracion de cabello,197,18,97034
10000799,Tintes y coloracion de cabello,99,18,97034
10000750,Tintes y coloracion de cabello,191,18,97034
10000854,Tintes y coloracion de cabello,178,18,97034
10000246,Tintes y coloracion de cabello,112,18,97034
10000107,Tintes y coloracion de cabello,100,18,97034
10000592,Tintes y coloracion de cabello,122,18,97034
10000068,Tintes y coloracion de cabello,61,18,97034
10000466,Tintes y coloracion de cabello,104,18,97034
10000227,Tintes y coloracion de cabello,82,21,97034
10000620,Tintes y coloracion de cabello,60,21,97034
10000016,Tintes y coloracion de cabello,166,21,97034
10000077,Tintes y coloracion de cabello,108,21,97034
10000304,Tintes y coloracion de cabello,193,21,97034
10000335,Tintes y coloracion de cabello,199,21,97034
10000177,Tintes y coloracion de cabello,150,21,97034
10000147,Tintes y coloracion de cabello,48,21,97034
10000181,Tintes y coloracion de cabello,139,21,97034
10000332,Tintes y coloracion de cabello,158,21,97034
10000885,Tintes y coloracion de cabello,79,21,97034
10000166,Tintes y coloracion de cabello,89,21,97034
10000269,Tintes y coloracion de cabello,93,21,97034
10000181,Tintes y coloracion de cabello,139,21,97034
10000323,Tintes y coloracion de cabello,131,21,97034
10000106,Tintes y coloracion de cabello,1,21,97034
10000099,Tintes y coloracion de cabello,75,21,97034
10000037,Tintes y coloracion de cabello,192,21,97034
10000925,Tintes y coloracion de cabello,61,21,97034
10000681,Tintes y coloracion de cabello,94,21,97034
10000040,Tintes y coloracion de cabello,129,21,97034
10000091,Tintes y coloracion de cabello,98,21,97034
10000224,Tintes y coloracion de cabello,33,21,97034
10000593,Tintes y coloracion de cabello,127,21,97034
10000269,Tintes y coloracion de cabello,93,21,97034
10000695,Tintes y coloracion de cabello,42,21,97034
10000415,Tintes y coloracion de cabello,44,21,97034
10000473,Tintes y coloracion de cabello,48,21,97034
10000658,Tintes y coloracion de cabello,94,21,97034
10000229,Tintes y coloracion de cabello,128,21,97034
10000471,Tintes y coloracion de cabello,1,21,97034
10000939,Tintes y coloracion de cabello,8,21,97034
10000683,Tintes y coloracion de cabello,7,21,97034
10000790,Tintes y coloracion de cabello,39,21,97034
10000517,Tintes y coloracion de cabello,137,21,97034
10000079,Tintes y coloracion de cabello,129,21,97034
10000160,Tintes y coloracion de cabello,61,21,97034
10000174,Tintes y coloracion de cabello,14,21,97034
10000447,Tintes y coloracion de cabello,159,21,97034
10000324,Tintes y coloracion de cabello,108,21,97034
10000521,Tintes y coloracion de cabello,35,21,97034
10000638,Tintes y coloracion de cabello,109,22,97034
10000424,Tintes y coloracion de cabello,14,22,97034
10000375,Tintes y coloracion de cabello,126,22,97034
10000837,Tintes y coloracion de cabello,28,22,97034
10000397,Tintes y coloracion de cabello,73,22,97034
10000412,Tintes y coloracion de cabello,183,22,97034
10000168,Tintes y coloracion de cabello,45,22,97034
10000770,Tintes y coloracion de cabello,111,22,97034
10000317,Tintes y coloracion de cabello,85,22,97034
10000867,Tintes y coloracion de cabello,68,22,97034
10000881,Tintes y coloracion de cabello,180,22,97034
10000343,Tintes y coloracion de cabello,25,22,97034
10000385,Tintes y coloracion de cabello,24,22,97034
10000170,Tintes y coloracion de cabello,95,22,97034
10000293,Tintes y coloracion de cabello,67,22,97034
10000696,Tintes y coloracion de cabello,114,22,97034
10000980,Tintes y coloracion de cabello,152,22,97034
10000556,Tintes y coloracion de cabello,47,22,97034
10000759,Tintes y coloracion de cabello,68,22,97034
10000425,Tintes y coloracion de cabello,37,22,97034
10000103,Tintes y coloracion de cabello,67,22,97034
10000417,Tintes y coloracion de cabello,121,22,97034
10000949,Tintes y coloracion de cabello,136,22,97034
10000464,Tintes y coloracion de cabello,147,22,97034
10000391,Tintes y coloracion de cabello,45,22,97034
10000922,Tintes y coloracion de cabello,3,22,97034
10000553,Tintes y coloracion de cabello,29,22,97034
10000941,Tintes y coloracion de cabello,96,22,97034
10000506,Tintes y coloracion de cabello,86,22,97034
10000552,Tintes y coloracion de cabello,160,22,97034
10000728,Tintes y coloracion de cabello,130,22,97034
10000927,Tintes y coloracion de cabello,87,22,97034
10000905,Tintes y coloracion de cabello,122,22,97034
10000898,Tintes y coloracion de cabello,131,22,97034
10000696,Tintes y coloracion de cabello,114,22,97034
10000406,Tintes y coloracion de cabello,2,22,97034
10000160,Tintes y coloracion de cabello,61,22,97034
10000172,Tintes y coloracion de cabello,194,22,97034
10000897,Tintes y coloracion de cabello,186,22,97034
10000133,Tintes y coloracion de cabello,72,22,97034
